,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
917,2.875,7.125,2.875,4.375,3.625,5.5,6.75,4.125,8.375,6.0
918,5.375,8.5,6.125,6.5,8.0,9.0,9.125,5.0,9.75,8.125
919,5.75,8.625,4.5,7.25,7.5,8.625,6.375,4.875,9.875,8.0
920,2.75,6.5,4.875,5.625,5.75,7.75,3.625,3.25,6.75,6.25
921,5.25,8.375,4.875,5.625,6.375,8.25,4.25,4.375,7.25,6.75
922,3.5,6.5,3.5,4.25,4.875,7.375,4.0,2.5,6.0,4.875
923,6.625,9.375,5.5,7.0,8.125,10.0625,6.25,5.625,9.75,8.75
924,4.75,7.875,5.0,6.75,7.0,10.0,5.875,5.0,7.875,7.125
925,7.875,11.25,8.0,9.4375,7.125,9.6875,8.5,7.25,11.75,9.75
926,5.25,8.0,5.875,6.75,7.125,8.625,3.625,6.0,7.25,7.25
927,4.125,7.25,4.75,5.5,6.75,9.375,3.25,4.5,8.625,7.5
928,4.625,7.125,5.0,6.125,6.25,8.0,4.875,4.25,7.75,6.75
929,3.0,6.375,3.5,4.625,5.375,7.125,2.125,3.5,6.25,6.125
930,4.625,7.625,5.25,6.625,7.375,9.0,4.875,5.375,7.375,8.375
931,3.125,6.375,3.5,3.625,5.875,7.125,3.0,4.0,5.875,6.25
932,3.875,7.625,2.625,4.875,6.125,7.5,4.375,4.0,6.75,6.375
933,5.875,8.75,5.375,6.0,6.5,9.5625,6.0,5.125,8.375,7.625
934,4.5,7.0,4.125,5.0,6.0,8.125,3.5,4.625,7.375,6.25
935,3.25,6.0,4.125,4.75,6.5,7.625,2.625,4.125,6.875,6.125
936,3.25,6.75,4.25,5.625,7.125,7.5,3.0,5.25,7.0,7.0
937,4.375,7.375,4.125,5.625,6.25,8.125,3.5,5.625,8.375,7.0
938,5.875,8.625,4.25,7.0,7.0,8.5,4.875,5.625,7.75,7.375
939,6.375,10.0,4.875,7.125,8.25,8.5,7.25,6.125,8.75,8.875
940,3.875,7.0,4.5,5.375,6.25,8.0,4.25,4.625,7.125,6.125
941,2.375,6.375,3.375,6.625,5.125,7.375,3.125,3.875,8.875,6.0
942,3.625,7.25,2.875,5.25,5.75,7.5,4.0,3.5,7.75,6.25
943,4.875,8.0,3.875,6.0,7.0,9.5625,5.375,5.625,9.75,8.125
944,1.0,6.375,3.125,4.75,3.5,5.875,5.625,3.625,7.5,5.0
945,5.0,8.625,4.5,6.0,5.5,8.625,4.5,5.375,10.25,7.125
946,5.125,7.875,4.875,6.75,6.75,9.625,4.625,5.875,9.125,7.25
947,4.375,7.875,4.5,6.25,6.375,8.875,4.25,5.0,9.125,7.25
948,5.0,8.625,4.0,5.625,6.625,8.875,5.0,5.0,9.0,7.0
949,3.625,7.625,4.875,7.375,6.25,7.875,4.875,3.75,8.25,6.125
950,3.75,6.125,4.25,4.5,5.375,6.5,3.0,3.875,7.125,5.0
951,4.75,7.625,5.25,6.5,7.125,8.125,4.5,5.875,8.875,7.125
952,3.25,6.625,3.0,5.375,5.875,5.5,3.125,3.5,7.25,5.375
953,5.0,7.75,3.875,6.125,6.875,7.0,4.875,5.0,8.25,6.75
954,5.375,8.25,5.25,9.25,7.75,9.125,6.125,7.375,10.5,8.0
955,5.375,8.0,5.0,7.125,6.5,9.0,5.375,5.125,10.5,6.625
956,4.125,6.875,4.5,6.25,6.375,7.5,4.0,5.375,8.375,6.375
957,5.5,8.5,4.75,6.25,7.875,8.875,4.5,5.875,11.0,7.625
958,5.0,7.25,4.25,5.25,7.125,8.25,3.75,5.75,7.75,6.375
959,4.25,6.875,4.25,5.875,7.125,7.5,5.125,6.125,7.625,7.0
960,5.625,9.125,7.625,7.125,8.5,10.8125,6.625,7.5,10.0,8.5
961,4.25,6.875,5.625,6.0,7.375,8.25,4.875,6.25,7.625,6.875
962,4.125,7.25,4.5,5.5,7.0,8.625,4.375,5.375,6.875,6.625
963,6.0,9.375,5.25,7.375,8.125,10.5625,5.875,6.625,10.25,9.625
964,3.75,7.625,3.25,4.25,5.125,5.5,4.75,3.375,4.875,4.25
965,4.25,7.0,4.875,5.375,6.875,7.875,3.375,5.375,8.25,6.375
966,4.625,7.25,5.625,5.75,6.875,8.375,4.375,5.875,7.625,6.75
967,3.125,5.375,3.0,4.0,5.375,7.0,2.625,5.125,7.5,5.375
968,3.125,5.875,2.375,5.125,6.375,7.125,3.625,4.5,6.75,5.75
969,4.875,7.75,3.625,4.625,5.375,7.5,5.875,4.25,7.5,6.375
970,3.375,6.5,6.25,6.0,7.375,8.75,5.625,4.875,8.0,7.125
971,2.875,6.0,4.375,5.625,6.0,7.0,2.625,4.375,7.25,6.0
972,3.0,6.875,4.0,5.375,5.375,7.375,3.25,3.5,7.0,5.125
973,2.625,7.0,2.875,5.375,5.25,6.5,3.5,3.875,7.125,6.375
974,4.625,7.625,5.25,7.125,7.125,7.875,4.25,5.125,8.375,6.875
975,4.25,8.0,5.0,6.5,6.75,8.125,3.375,5.75,9.0,6.75
976,4.375,9.375,5.25,7.75,5.0,7.5,5.75,5.0,9.5,6.625
977,3.0,6.5,4.25,6.0,6.375,8.0,2.625,4.75,8.0,6.25
978,6.25,9.5,6.0,6.625,7.375,8.0,3.625,6.0,9.5,7.5
979,4.625,8.25,5.125,6.0,5.75,6.75,3.125,4.5,6.625,6.25
980,4.625,7.75,5.75,6.375,6.75,8.0,4.5,4.875,8.25,6.875
981,4.25,8.0,4.75,7.25,6.625,7.375,3.625,5.0,7.625,6.5
982,4.75,8.25,4.75,7.0,7.0,8.375,4.5,5.375,8.125,6.75
983,4.5,7.125,4.625,5.5,5.875,7.5,3.0,4.75,7.625,6.25
984,5.0,7.875,5.125,5.625,5.75,7.125,3.125,5.25,6.875,5.875
985,5.375,9.375,6.5,7.125,7.375,8.625,3.625,5.875,9.75,7.625
986,4.0,7.625,5.0,5.5,5.875,8.0,2.625,4.75,8.125,6.375
987,4.25,8.375,4.5,6.875,6.125,9.375,3.375,4.875,9.75,7.125
988,3.875,8.375,4.625,7.0,5.375,7.375,3.375,4.0,8.25,6.375
989,6.0,10.5,4.875,7.875,6.25,6.625,3.125,5.5,8.5,6.25
990,4.5,8.125,6.5625,6.625,6.75,8.0,4.125,5.625,8.0,7.25
991,3.125,6.75,5.25,5.375,6.5,7.375,2.875,5.0,8.5,6.625
992,1.75,6.125,4.625,4.625,5.125,6.125,2.5,3.375,7.0,5.125
993,4.375,7.875,6.75,6.5,7.0,8.0,5.625,5.375,7.875,8.125
994,4.5,7.125,5.375,5.875,7.125,8.625,3.875,5.375,8.0,6.875
995,4.375,6.875,5.25,6.375,7.125,8.375,3.25,5.75,9.25,6.625
996,2.0,5.375,5.375,4.25,5.0,8.25,5.625,4.75,6.625,5.125
997,3.75,7.5,6.0,5.5,6.625,8.375,4.375,5.0,8.875,7.125
998,5.0,8.25,6.375,6.0,7.875,9.0,5.25,6.25,10.0,7.625
999,5.25,9.625,6.25,6.625,6.5,7.375,5.875,4.375,7.5,6.875
