,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
426,-1.25,-4.34375,1.03125,4.65625,-1.125,0.09375,6.6875,1.71875,-0.46875,0.8125
427,-1.875,-5.625,0.3125,2.5625,-2.625,-0.4375,6.0625,2.125,-0.8125,0.8125
428,-1.75,-2.296875,1.25,3.625,0.4375,0.125,7.0,3.4375,-1.0,0.5625
429,-3.125,-5.625,0.375,3.75,-0.4375,-1.0,6.625,2.5,-0.375,-0.1875
430,-2.59375,-2.65625,1.40625,2.4375,2.6875,-0.25,6.53125,1.375,-1.1875,-0.0625
431,-1.625,-4.6875,0.625,4.25,0.8125,-0.5625,5.625,1.6875,-0.375,0.0
432,-0.015625,-2.96875,-0.4375,5.125,-1.4375,-0.6875,8.5,0.8125,-1.875,2.65625
433,-0.625,-3.625,0.46875,3.34375,1.78125,-0.875,6.46875,2.40625,-1.15625,0.875
434,-1.5625,-3.359375,-0.5625,4.75,0.625,0.875,7.0,1.8125,0.0,0.5625
435,-2.0625,-4.0625,0.25,3.1875,0.3125,-1.1875,7.78125,1.4375,-0.9375,1.25
436,-1.5625,-4.1875,-1.09375,4.34375,0.0625,-0.25,7.9375,1.59375,-0.78125,1.03125
437,-2.0625,-5.0625,-1.0,3.75,0.625,-0.3125,7.125,1.25,-0.375,0.5
438,-2.46875,-3.96875,-1.3125,3.75,0.625,-0.125,7.5625,1.8125,-0.375,0.0
439,-2.71875,-6.0625,-1.5625,3.5,0.75,-0.4375,6.25,1.6875,-0.75,-0.125
440,-3.25,-4.1875,-1.75,4.3125,0.75,-0.625,6.75,0.375,-1.4375,1.125
441,-2.3125,-5.6875,-0.71875,4.71875,0.875,-0.375,4.78125,0.78125,-0.28125,1.34375
442,-1.25,-3.9375,-0.5,6.46875,-0.375,0.6875,7.125,0.625,0.46875,1.0
443,-1.8125,-4.625,-0.125,4.6875,1.375,-0.3125,4.9375,1.375,-0.1875,0.375
444,-1.09375,-5.1875,-1.875,5.46875,1.59375,-0.375,7.78125,1.03125,-2.03125,1.0
445,-2.28125,-5.21875,-1.03125,4.65625,2.03125,-0.21875,5.65625,2.03125,-0.28125,0.0
446,-2.0,-5.1875,-2.0625,4.5,1.1875,0.4375,6.5,1.625,-0.125,0.375
447,-1.875,-5.375,-1.1875,4.34375,1.40625,-0.4375,6.53125,2.09375,0.0625,0.1875
448,-1.4375,-3.5,-0.5,5.0,2.125,-0.25,6.375,2.5625,0.78125,0.4375
449,-2.625,-6.46875,-1.875,3.59375,1.65625,-0.9375,5.84375,2.03125,-0.125,-0.3125
450,-2.375,-5.25,-0.25,3.625,2.625,-1.5625,6.1875,1.0625,-1.125,-0.5625
451,-1.40625,-6.71875,-1.5,2.375,-0.875,-2.0,7.59375,1.28125,-2.625,0.125
452,-1.21875,-5.90625,-0.28125,4.65625,-0.375,-0.8125,5.65625,1.03125,-0.21875,-0.0625
453,-1.46875,-6.25,0.5,3.1875,-0.125,-1.5,5.0,1.125,-1.4375,-0.75
454,-1.84375,-5.46875,-0.40625,4.28125,-1.0,-0.5,5.59375,2.28125,-0.59375,-1.125
455,-1.203125,-5.5625,0.125,3.125,2.1875,-1.5625,5.75,1.125,-1.625,-0.0625
456,0.34375,-4.53125,-0.0625,4.75,1.25,-1.4375,6.4375,1.0,-1.75,0.25
457,-0.703125,-5.1875,1.125,3.875,2.6875,-0.625,6.875,2.125,-0.875,-0.625
