,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
368,-6.59375,-5.96875,-10.1875,-10.25,-9.4375,-9.4375,-8.4375,-7.625,-10.5,-12.125
369,-5.8125,-8.1875,-9.4375,-10.6875,-9.8125,-9.375,-7.96875,-8.3125,-10.8125,-10.9375
370,-7.1875,-6.9375,-9.1875,-12.6875,-9.375,-9.8125,-7.53125,-8.125,-10.9375,-10.875
371,-6.625,-9.1875,-10.25,-12.375,-9.875,-10.5,-9.8125,-8.875,-10.75,-11.75
372,-5.96875,-7.65625,-9.6875,-10.0,-10.1875,-9.9375,-8.75,-9.0625,-10.375,-11.5
373,-7.09375,-7.90625,-9.75,-10.9375,-9.25,-10.25,-9.375,-8.3125,-10.8125,-12.0625
374,-6.4375,-6.875,-10.125,-9.875,-9.4375,-9.5625,-8.625,-8.375,-9.0,-12.625
375,-6.28125,-8.25,-8.25,-13.125,-7.75,-10.5625,-10.0,-8.5625,-11.4375,-11.875
376,-5.75,-6.9375,-9.5,-10.75,-8.75,-10.375,-7.59375,-8.75,-10.75,-11.75
377,-5.375,-6.0625,-8.9375,-12.5625,-6.84375,-10.0625,-7.75,-7.9375,-10.25,-11.125
378,-7.125,-7.375,-10.1875,-12.375,-9.4375,-10.875,-9.0625,-9.125,-10.3125,-13.25
379,-6.71875,-9.125,-10.125,-12.125,-9.0,-10.5,-8.4375,-8.3125,-10.25,-12.6875
380,-6.78125,-5.03125,-10.0625,-11.1875,-9.125,-10.4375,-7.5625,-8.5625,-10.4375,-12.5
381,-5.0,-7.0,-9.5,-11.375,-8.75,-10.25,-8.9375,-8.3125,-9.375,-11.875
382,-5.21875,-6.15625,-10.4375,-10.1875,-9.4375,-10.25,-8.4375,-8.5,-9.3125,-12.0
383,-5.96875,-6.28125,-9.375,-10.4375,-9.4375,-9.875,-9.125,-7.53125,-9.3125,-12.0625
384,-4.15625,-4.15625,-8.375,-8.0625,-8.1875,-8.625,-8.3125,-7.71875,-8.5625,-10.625
385,-6.3125,-7.3125,-9.625,-12.125,-8.8125,-9.6875,-9.0,-7.875,-10.125,-11.5625
386,-5.375,-5.75,-9.3125,-11.25,-9.875,-9.5,-5.6875,-8.8125,-10.625,-10.125
387,-6.3125,-7.4375,-10.0625,-12.1875,-10.0625,-9.625,-7.90625,-7.8125,-9.9375,-10.75
388,-6.75,-5.75,-10.3125,-11.125,-9.625,-9.25,-8.25,-7.3125,-9.75,-11.4375
389,-7.40625,-8.125,-10.3125,-12.875,-10.25,-9.375,-9.0625,-7.59375,-10.0,-11.3125
