,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
910,18.0,20.375,20.375,19.0,17.125,17.25,13.875,14.875,20.125,17.875
911,19.125,18.5,21.5,20.125,17.625,17.75,16.25,16.25,21.25,19.25
912,19.875,19.5,22.625,21.25,19.25,20.125,17.5,16.625,22.75,20.25
913,18.625,19.0,19.875,20.0,18.625,19.0,16.75,15.75,20.5,18.25
914,20.25,20.0,23.0,21.375,19.875,20.5,17.875,17.0,22.125,18.625
915,19.375,20.375,21.375,20.375,18.625,19.25,17.125,17.375,21.25,18.125
916,18.5,20.5,21.75,19.875,18.375,18.375,16.375,15.25,21.0,17.625
917,15.5,16.5,19.5,17.5,15.625,16.625,14.25,13.625,18.25,16.75
918,16.75,19.125,22.375,19.0,17.625,19.75,17.125,15.875,18.75,19.5
919,17.875,18.5,20.5,18.75,16.875,18.0,16.0,14.25,19.5,18.125
920,18.75,18.375,20.625,19.125,16.375,17.875,13.75,14.625,19.5,17.125
921,19.75,20.0,22.0,21.75,18.125,19.125,16.75,16.5,21.375,18.625
922,18.625,18.25,20.5,19.5,17.875,18.125,15.875,15.875,20.375,17.0
923,19.25,21.25,22.75,21.25,19.375,19.375,16.875,18.5,21.75,18.875
924,16.5,17.5,19.75,18.25,18.375,18.375,14.5,14.75,20.25,17.875
925,19.125,19.5,22.125,20.625,18.5,19.375,16.5,16.75,21.75,20.25
926,20.25,20.875,21.625,20.125,18.375,18.5,16.625,16.5,21.0,19.75
927,18.25,20.25,22.0,19.375,18.75,18.25,15.125,15.25,20.625,19.0
928,17.125,19.375,19.375,17.75,18.75,18.375,15.375,15.125,19.125,17.75
929,17.375,19.25,20.0,19.25,17.75,17.25,15.625,15.625,20.25,18.25
930,15.875,16.875,18.125,16.875,15.875,15.125,12.5,13.125,17.875,14.5
931,18.375,19.0,20.0,20.25,18.25,18.375,15.75,15.125,22.25,17.625
932,17.625,19.0,19.25,17.5,16.5,16.625,14.375,15.125,19.5,15.625
933,18.0,19.0,19.5,18.125,17.0,16.375,14.0,14.75,18.875,14.25
934,14.5,15.5,16.875,15.75,13.5,13.625,11.5,11.375,16.25,12.5
935,16.125,16.625,18.625,17.125,15.625,15.75,12.625,14.5,18.625,14.25
936,18.25,19.125,21.25,18.75,18.25,18.25,13.625,15.125,19.875,17.5
937,16.625,17.5,19.25,16.875,16.125,16.5,13.0,13.375,17.5,15.0
938,19.875,19.875,24.0,19.625,19.25,19.125,16.375,17.0,19.5,18.25
